Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2022-05-02,1604,Greene,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 105.13 GANGS 4,4.0,29,,,,,,,
2022-05-02,1604,Greene,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 105.13 GANGS 4,4.0,30,,,,,,,
2022-05-02,1604,Greene,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 105.13 GANGS 4,4.0,30,,,,,,,
2022-05-02,1115,Groveland,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,90,,,,,,,
2022-05-02,1030,Groveland,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 2,2.0,3,,,,,,,
2022-05-02,1120,Groveland,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,59,,,,,,,
2022-05-02,1425,Groveland,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 2,2.0,60,,,,,,,
2022-05-02,1200,Groveland,3 102.10 THREATS 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 4,4.0,30,,,,,,,
2022-05-02,1020,Groveland,3 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 118.20 TATTOOING 6,6.0,14,,,,,,,
2022-05-02,1350,Groveland,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 2,2.0,3,,,,,,,
2022-05-02,1010,Marcy,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,60,,,,,,,
2022-05-02,1150,Marcy,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 4,3.0,30,,,,,,,
2022-05-02,725,Marcy,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,182,,,,,,,
2022-05-02,1050,Marcy,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 4,4.0,30,,,,,,,
2022-05-02,1500,Sing Sing,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 8,6.0,30,,,,,,,
2022-05-02,1132,Sullivan,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 102.10 THREATS 7,7.0,365,,,,,,,
2022-05-02,806,Upstate,3 100.13 FIGHTING 1,1.0,30,,,,,,,
2022-05-02,905,Upstate,3 113.10 WEAPON 102.10 THREATS 105.13 GANGS 6,6.0,180,,,,,,,
2022-05-02,806,Upstate,3 100.13 FIGHTING 1,1.0,15,,,,,,,
2022-05-02,1515,Wallkill,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,45,,,,,,,
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - May 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of June 7, 2022",,,,,,,,,
Date,Time,Facility,TIER Guilty1 Guilty2 Guilty3 Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2022-05-02,820,Wende,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,120,,,,,,,
2022-05-02,820,Wende,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 105.13 GANGS 5,5.0,60,,,,,,,
2022-05-02,2050,Woodbourne,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 102.10 THREATS 6,6.0,180,,,,,,,
2022-05-02,1900,Wyoming,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,225,,,,,,,
2022-05-02,1200,Wyoming,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,5.0,30,,,,,,,
2022-05-03,1315,Attica,3 113.10 WEAPON 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 5,4.0,103,,,,,,,
2022-05-03,1425,Attica,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 7,5.0,314,,,,,,,
2022-05-03,902,Attica,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 7,7.0,270,,,,,,,
2022-05-03,1610,Attica,3 113.10 WEAPON 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 5,5.0,90,,,,,,,
2022-05-03,1325,Attica,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 4,4.0,21,,,,,,,
2022-05-03,1435,Attica,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 4,4.0,90,,,,,,,
2022-05-03,1045,Attica,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 3,3.0,45,,,,,,,
2022-05-03,1020,Cape Vincent,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 3,3.0,60,,,,,,,
2022-05-03,1005,Cape Vincent,3 114.10 SMUGGLING 113.23 CONTRABAND 3,2.0,60,,,,,,,
2022-05-03,1005,Cayuga,3 107.10 INTERFERENCE 6,1.0,5,,,,,,,
2022-05-03,1110,Clinton,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 8,6.0,200,,,,,,,
2022-05-03,930,Clinton,3 106.10 DIRECT ORDER 101.20 LEWD CONDUCT 4,2.0,48,,,,,,,
2022-05-03,1925,Clinton,3 113.10 WEAPON 114.10 SMUGGLING 106.10 DIRECT ORDER 7,7.0,154,,,,,,,
2022-05-03,1015,Clinton,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 104.13 CREATE DISTURB 4,4.0,60,,,,,,,
2022-05-03,1315,Collins,3 101.22 STALKING 180.11 FACIL CORRESPOND 107.11 HARASSMENT 5,3.0,45,,,,,,,
2022-05-03,805,Coxsackie,3 100.13 FIGHTING 102.10 THREATS 104.11 VIOLENT CONDUCT 7,5.0,122,,,,,,,
2022-05-03,805,Coxsackie,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,273,,,,,,,
2022-05-03,1450,Elmira,3 100.10 ASSAULT ON I/I 113.10 WEAPON 100.13 FIGHTING 5,5.0,90,,,,,,,
2022-05-03,1450,Elmira,3 100.13 FIGHTING 102.10 THREATS 104.11 VIOLENT CONDUCT 5,3.0,59,,,,,,,
2022-05-03,1330,Franklin,3 113.10 WEAPON 102.10 THREATS 114.10 SMUGGLING 4,4.0,131,,,,,,,
2022-05-03,1940,Franklin,3 102.10 THREATS 109.12 MOVEMENT VIO 2,2.0,42,,,,,,,
2022-05-03,2235,Franklin,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,60,,,,,,,
