Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2023-01-03,1305,Mohawk,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 4,4.0,120,,,,,,,
2023-01-03,1635,Mohawk,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 6,6.0,90,,,,,,,
2023-01-03,1655,Sing Sing,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 5,5.0,120,,,,,,,
2023-01-03,1205,Upstate,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,120,,,,,,,
2023-01-03,2318,Washington,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 4,4.0,120,,,,,,,
2023-01-03,2318,Washington,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 4,4.0,30,,,,,,,
2023-01-03,1010,Wende,3 118.22 UNHYGIENIC ACT 102.10 THREATS 106.10 DIRECT ORDER 6,5.0,45,,,,,,,
2023-01-03,2240,Wyoming,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 6,6.0,365,,,,,,,
2023-01-04,1455,Attica,3 101.10 SEX OFFENSE 180.10 FACIL VISITING 3,2.0,14,,,,,,,
2023-01-04,1520,Attica,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,300,,,,,,,
2023-01-04,905,Auburn,3 102.10 THREATS 1,1.0,220,,,,,,,
2023-01-04,845,Auburn,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 7,7.0,90,,,,,,,
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - January 2023 (Dismissals Excluded, Only Guilty Rule Violations Included) As of January 30, 2023",,,,,,,,,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2023-01-04,1745,Bare Hill,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 6,6.0,200,,,,,,,
2023-01-04,1745,Bare Hill,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,65,,,,,,,
2023-01-04,1745,Bare Hill,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,48,,,,,,,
2023-01-04,1745,Bare Hill,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,45,,,,,,,
2023-01-04,1745,Bare Hill,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30,,,,,,,
2023-01-04,1100,Bare Hill,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 104.13 CREATE DISTURB 5,3.0,30,,,,,,,
2023-01-04,1955,Clinton,3 105.13 GANGS 1,1.0,60,,,,,,,
2023-01-04,740,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,61,,,,,,,
2023-01-04,1850,Collins,3 102.10 THREATS 106.10 DIRECT ORDER 181.10 HEARING DISP 6,4.0,1,,,,,,,
2023-01-04,915,Eastern,3 102.10 THREATS 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 8,7.0,2,,,,,,,
2023-01-04,1515,Five Points,3 113.10 WEAPON 113.11 ALTERED ITEM 2,2.0,120,,,,,,,
2023-01-04,1040,Five Points,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 4,4.0,90,,,,,,,
2023-01-04,1700,Five Points,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,270,,,,,,,
2023-01-04,1705,Five Points,3 105.13 GANGS 113.23 CONTRABAND 3,2.0,30,,,,,,,
2023-01-04,1100,Five Points,3 105.13 GANGS 113.23 CONTRABAND 2,2.0,180,,,,,,,
2023-01-04,730,Five Points,3 113.10 WEAPON 105.13 GANGS 114.10 SMUGGLING 4,4.0,90,,,,,,,
2023-01-04,1430,Five Points,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 6,6.0,120,,,,,,,
2023-01-04,1340,Five Points,3 108.13 ESCAPE ITEMS 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,90,,,,,,,
2023-01-04,615,Five Points,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,64,,,,,,,
2023-01-04,1650,Five Points,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,180,,,,,,,
2023-01-04,900,Five Points,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 108.13 ESCAPE ITEMS 9,9.0,365,,,,,,,
2023-01-04,600,Five Points,3 113.10 WEAPON 105.13 GANGS 114.10 SMUGGLING 7,4.0,90,,,,,,,
2023-01-04,1625,Five Points,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,45,,,,,,,
2023-01-04,715,Five Points,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,200,,,,,,,
2023-01-04,1400,Five Points,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 5,5.0,60,,,,,,,
2023-01-04,808,Five Points,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 4,4.0,30,,,,,,,
2023-01-04,940,Five Points,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,179,,,,,,,
2023-01-04,2105,Franklin,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,47,,,,,,,
2023-01-04,2040,Great Meadow,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 3,2.0,5,,,,,,,
2023-01-04,1350,Great Meadow,3 100.11 ASSAULT ON STAFF 102.10 THREATS 104.11 VIOLENT CONDUCT 7,7.0,365,,,,,,,
2023-01-04,1425,Great Meadow,3 118.22 UNHYGIENIC ACT 106.10 DIRECT ORDER 107.10 INTERFERENCE 3,3.0,180,,,,,,,
2023-01-04,815,Green Haven,3 104.11 VIOLENT CONDUCT 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 7,6.0,14,,,,,,,
2023-01-04,1015,Green Haven,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 6,5.0,164,,,,,,,
2023-01-04,1100,Groveland,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 4,4.0,150,,,,,,,
2023-01-04,1630,Mohawk,3 102.10 THREATS 104.11 VIOLENT CONDUCT 2,2.0,60,,,,,,,
2023-01-04,850,Mohawk,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,180,,,,,,,
2023-01-04,1000,Orleans,3 118.22 UNHYGIENIC ACT 102.10 THREATS 115.10 SEARCH/FRISK 7,7.0,120,,,,,,,
2023-01-04,750,Otisville,3 102.10 THREATS 104.13 CREATE DISTURB 107.11 HARASSMENT 5,3.0,30,,,,,,,
2023-01-04,812,Sullivan,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,90,,,,,,,
2023-01-04,2135,Ulster,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,180,,,,,,,
2023-01-04,830,Upstate,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 8,8.0,90,,,,,,,
