New York State Department of Corrections and Community Supervision,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Incidents Originally Resulting in a SHU sanction - April 2022 (Dismissals Excluded, Only Guilty Rule Violations Included)",,,,,,,,,,,,
Date,Time,Facility,TIER,Guilty1,,Guilty2,,Guilty3,,TotalInfractions,Total GuiltyInfractions,OriginalSHUDays
2022-04-04,1610,Greene,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,105.13,GANGS,5,5,29
2022-04-04,2200,Groveland,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,107.11,HARASSMENT,4,4,2
2022-04-04,1630,Groveland,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,109.12,MOVEMENT VIO,3,3,2
2022-04-04,1145,Marcy,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,,,4,2,90
2022-04-04,1340,Riverview,3,102.10,THREATS,106.10,DIRECT ORDER,107.10,INTERFERENCE,5,5,45
2022-04-04,0840,Sing Sing,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,15
2022-04-04,1500,Ulster,3,113.10,WEAPON,114.10,SMUGGLING,113.23,CONTRABAND,3,3,90
2022-04-04,1253,Upstate,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,30
2022-04-04,0840,Upstate,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,6,3,30
2022-04-04,0840,Upstate,3,100.13,FIGHTING,102.10,THREATS,104.11,VIOLENT CONDUCT,5,5,100
2022-04-04,1253,Upstate,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,90
2022-04-04,2355,Wende,3,100.11,ASSAULT ON STAFF,113.10,WEAPON,102.10,THREATS,7,7,119
2022-04-04,0840,Wyoming,3,113.10,WEAPON,114.10,SMUGGLING,113.23,CONTRABAND,4,4,122
2022-04-04,2352,Wyoming,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,5,5,60
2022-04-05,1105,Albion,3,102.10,THREATS,106.10,DIRECT ORDER,181.10,HEARING DISP,4,4,60
2022-04-05,1350,Attica,3,100.10,ASSAULT ON INMATE,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,120
2022-04-05,1030,Attica,3,102.10,THREATS,107.10,INTERFERENCE,104.13,CREATE DISTURB,4,4,199
2022-04-05,1135,Auburn,3,100.10,ASSAULT ON INMATE,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,7,7,270
2022-04-05,1135,Auburn,3,100.10,ASSAULT ON INMATE,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,90
2022-04-05,1135,Auburn,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,100.13,FIGHTING,5,4,213
2022-04-05,0900,Auburn,3,102.10,THREATS,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,30
"Incidents Originally Resulting in a SHU sanction - April 2022 (Dismissals Excluded, Only Guilty Rule Violations Included)",,,,,,,,,,,,
Date,Time,Facility,TIER,Guilty1,,Guilty2,,Guilty3,,TotalInfractions,Total GuiltyInfractions,OriginalSHUDays
2022-04-05,1400,Auburn,3,113.10,WEAPON,114.10,SMUGGLING,107.10,INTERFERENCE,3,3,90
2022-04-05,1621,Bare Hill,3,102.10,THREATS,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,6,6,92
2022-04-05,1955,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,3,89
2022-04-05,1910,Clinton,3,113.10,WEAPON,118.20,TATTOOING,,,2,2,180
2022-04-05,0750,Collins,3,113.10,WEAPON,,,,,1,1,30
2022-04-05,1400,Collins,3,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,107.10,INTERFERENCE,4,4,30
2022-04-05,1721,Coxsackie,3,100.11,ASSAULT ON STAFF,118.22,UNHYGIENIC ACT,104.11,VIOLENT CONDUCT,4,4,120
2022-04-05,1721,Coxsackie,3,100.11,ASSAULT ON STAFF,118.22,UNHYGIENIC ACT,102.10,THREATS,5,5,90
2022-04-05,1721,Coxsackie,3,100.11,ASSAULT ON STAFF,118.22,UNHYGIENIC ACT,102.10,THREATS,5,5,90
2022-04-05,1205,Coxsackie,3,102.10,THREATS,,,,,1,1,120
2022-04-05,1505,Coxsackie,3,100.11,ASSAULT ON STAFF,118.22,UNHYGIENIC ACT,102.10,THREATS,10,10,90
2022-04-05,1721,Coxsackie,3,100.11,ASSAULT ON STAFF,118.22,UNHYGIENIC ACT,107.10,INTERFERENCE,5,4,60
2022-04-05,1010,Eastern,3,102.10,THREATS,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,60
2022-04-05,0820,Elmira,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,30
2022-04-05,1255,Elmira,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,60
2022-04-05,0930,Five Points,3,102.10,THREATS,107.11,HARASSMENT,,,2,2,67
2022-04-05,1400,Five Points,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,104.11,VIOLENT CONDUCT,6,6,180
2022-04-05,1015,Five Points,3,102.10,THREATS,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,3,44
2022-04-05,2320,Franklin,3,102.10,THREATS,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,3,3,21
2022-04-05,1124,Greene,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,4,4,30
2022-04-05,1230,Greene,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,3,3,60
2022-04-05,1124,Greene,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,4,4,90
2022-04-05,1124,Greene,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,4,4,30
2022-04-05,1130,Riverview,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,100.13,FIGHTING,6,6,182
2022-04-05,1130,Riverview,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,100.13,FIGHTING,6,6,180
