Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4
2022-11-07,1635,Marcy,3 118.22 UNHYGIENIC ACT 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,270
2022-11-07,920,Mid-State,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,90
2022-11-07,845,Sing Sing,3 113.23 CONTRABAND 1,1.0,49
2022-11-07,815,Sing Sing,3 113.11 ALTERED ITEM 2,1.0,10
2022-11-07,935,Sing Sing,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,101
2022-11-07,740,Sing Sing,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,3.0,120
2022-11-07,1935,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,30
2022-11-07,1935,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,60
2022-11-07,1055,Wende,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,4.0,32
2022-11-08,1400,Auburn,3 101.20 LEWD CONDUCT 104.13 CREATE DISTURB 2,2.0,60
2022-11-08,1445,Auburn,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 104.13 CREATE DISTURB 4,3.0,14
2022-11-08,1425,Auburn,3 113.10 WEAPON 113.11 ALTERED ITEM 3,2.0,120
2022-11-08,900,Auburn,3 107.10 INTERFERENCE 2,1.0,15
2022-11-08,930,Bare Hill,3 102.10 THREATS 106.10 DIRECT ORDER 107.11 HARASSMENT 4,4.0,120
2022-11-08,830,Cayuga,3 102.10 THREATS 107.10 INTERFERENCE 107.11 HARASSMENT 3,3.0,30
