Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4
2022-12-04,1508,Orleans,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 114.10 SMUGGLING 7,7.0,270
2022-12-04,2200,Ulster,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,15
2022-12-04,2200,Ulster,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 4,4.0,270
2022-12-04,1214,Upstate,3 114.10 SMUGGLING 113.23 CONTRABAND 2,2.0,60
2022-12-04,1620,Washington,3 104.11 VIOLENT CONDUCT 4,1.0,3
2022-12-04,20,Washington,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 6,6.0,47
2022-12-04,1950,Woodbourne,3 114.10 SMUGGLING 113.23 CONTRABAND 2,2.0,49
2022-12-05,1400,Albion,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,15
2022-12-05,2200,Attica,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 104.13 CREATE DISTURB 4,4.0,2
2022-12-05,1350,Cayuga,3 101.22 STALKING 106.10 DIRECT ORDER 107.11 HARASSMENT 3,3.0,75
2022-12-05,1050,Cayuga,3 113.10 WEAPON 104.11 VIOLENT CONDUCT 114.10 SMUGGLING 7,7.0,100
2022-12-05,740,Clinton,3 102.10 THREATS 107.10 INTERFERENCE 107.11 HARASSMENT 3,3.0,90
2022-12-05,1930,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,90
2022-12-05,1930,Clinton,3 113.10 WEAPON 113.10 WEAPON 100.13 FIGHTING 6,6.0,373
2022-12-05,1400,Clinton,3 102.10 THREATS 106.10 DIRECT ORDER 2,2.0,20
2022-12-05,1930,Clinton,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 6,5.0,365
2022-12-05,1930,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30
2022-12-05,1003,Collins,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 109.12 MOVEMENT VIO 3,3.0,2
2022-12-05,1800,Eastern,3 102.10 THREATS 104.13 CREATE DISTURB 107.11 HARASSMENT 3,3.0,30
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - December 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of January 2, 2023",,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days
2022-12-05,1520,Elmira,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 104.13 CREATE DISTURB 5,5.0,365
2022-12-05,1525,Five Points,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 3,3.0,90
2022-12-05,1505,Franklin,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,100
2022-12-05,740,Franklin,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 3,3.0,93
2022-12-05,1230,Green Haven,3 113.10 WEAPON 113.11 ALTERED ITEM 2,2.0,127
2022-12-05,1710,Green Haven,3 100.10 ASSAULT ON INCAR INDIV 104.11 VIOLENT CONDUCT 2,2.0,52
2022-12-05,220,Lakeview,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,15
2022-12-05,1230,Marcy,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 102.10 THREATS 4,4.0,60
2022-12-05,1350,Marcy,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,34
2022-12-05,1900,Orleans,3 102.10 THREATS 103.10 BRIBERY/EXTORTION 104.11 VIOLENT CONDUCT 4,4.0,30
2022-12-05,1320,Orleans,3 102.10 THREATS 104.11 VIOLENT CONDUCT 105.13 GANGS 8,8.0,77
2022-12-05,1315,Orleans,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,270
2022-12-05,105,Sing Sing,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,60
2022-12-05,1348,Sing Sing,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 4,4.0,180
2022-12-05,510,Woodbourne,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,60
2022-12-05,1235,Wyoming,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 104.11 VIOLENT CONDUCT 3,3.0,269
2022-12-06,1843,Albion,3 113.10 WEAPON 116.13 VANDAL/STEALING 113.23 CONTRABAND 5,5.0,150
