Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2022-09-05,1030,Elmira,3 113.10 WEAPON 113.11 ALTERED ITEM 2,2.0,45,,,,,,,
2022-09-05,700,Elmira,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,15,,,,,,,
2022-09-05,1400,Fishkill,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,2.0,60,,,,,,,
2022-09-05,1955,Five Points,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 4,4.0,180,,,,,,,
2022-09-05,905,Lakeview,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 102.10 THREATS 5,5.0,180,,,,,,,
2022-09-05,2105,Orleans,3 114.10 SMUGGLING 113.23 CONTRABAND 2,2.0,45,,,,,,,
2022-09-05,2359,Riverview,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,48,,,,,,,
2022-09-05,1030,Sing Sing,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,250,,,,,,,
2022-09-05,1405,Upstate,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 2,2.0,30,,,,,,,
2022-09-05,1800,Upstate,3 102.10 THREATS 1,1.0,60,,,,,,,
2022-09-05,1400,Wende,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 104.11 VIOLENT CONDUCT 4,3.0,90,,,,,,,
2022-09-05,2316,Wyoming,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 107.10 INTERFERENCE 6,6.0,15,,,,,,,
2022-09-06,2130,Attica,3 113.10 WEAPON 1,1.0,180,,,,,,,
2022-09-06,1745,Attica,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 109.12 MOVEMENT VIO 3,3.0,90,,,,,,,
2022-09-06,1125,Attica,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 104.13 CREATE DISTURB 6,6.0,15,,,,,,,
2022-09-06,1135,Auburn,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 6,6.0,180,,,,,,,
2022-09-06,810,Auburn,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 5,5.0,90,,,,,,,
2022-09-06,1825,Auburn,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,90,,,,,,,
2022-09-06,1825,Auburn,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,89,,,,,,,
2022-09-06,1700,Auburn,3 118.22 UNHYGIENIC ACT 102.10 THREATS 106.10 DIRECT ORDER 7,7.0,90,,,,,,,
2022-09-06,1650,Bedford Hills,3 100.13 FIGHTING 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 7,7.0,75,,,,,,,
2022-09-06,900,Bedford Hills,3 118.22 UNHYGIENIC ACT 106.10 DIRECT ORDER 104.13 CREATE DISTURB 3,3.0,90,,,,,,,
2022-09-06,45,Collins,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 3,2.0,10,,,,,,,
2022-09-06,915,Five Points,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 4,4.0,150,,,,,,,
2022-09-06,745,Great Meadow,3 113.10 WEAPON 114.10 SMUGGLING 106.10 DIRECT ORDER 8,5.0,90,,,,,,,
2022-09-06,1855,Great Meadow,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,216,,,,,,,
2022-09-06,2100,Great Meadow,3 113.10 WEAPON 114.10 SMUGGLING 2,2.0,367,,,,,,,
2022-09-06,1630,Great Meadow,3 113.10 WEAPON 1,1.0,69,,,,,,,
2022-09-06,1845,Greene,3 113.10 WEAPON 102.10 THREATS 103.10 BRIBERY/EXTORTION 5,5.0,130,,,,,,,
2022-09-06,1820,Mohawk,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 4,4.0,187,,,,,,,
2022-09-06,1010,Orleans,3 118.22 UNHYGIENIC ACT 114.10 SMUGGLING 115.10 SEARCH/FRISK 4,4.0,90,,,,,,,
2022-09-06,1205,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,30,,,,,,,
2022-09-06,1220,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,60,,,,,,,
2022-09-06,1245,Upstate,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 6,6.0,180,,,,,,,
2022-09-06,1857,Wende,3 114.10 SMUGGLING 113.34 DRUG USE 180.10 FACIL VISITING 5,5.0,60,,,,,,,
2022-09-06,1205,Wende,3 113.10 WEAPON 105.13 GANGS 180.11 FACIL CORRESPOND 5,5.0,180,,,,,,,
2022-09-06,830,Woodbourne,3 114.10 SMUGGLING 115.10 SEARCH/FRISK 107.10 INTERFERENCE 4,4.0,15,,,,,,,
2022-09-07,2225,Altona,3 114.10 SMUGGLING 113.23 CONTRABAND 2,2.0,90,,,,,,,
2022-09-07,930,Attica,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 109.12 MOVEMENT VIO 3,3.0,85,,,,,,,
2022-09-07,2030,Cape Vincent,3 114.10 SMUGGLING 113.23 CONTRABAND 2,2.0,90,,,,,,,
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - September 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of October 3, 2022",,,,,,,,,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2022-09-07,5,Cape Vincent,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30,,,,,,,
2022-09-07,5,Cape Vincent,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 5,5.0,135,,,,,,,
2022-09-07,610,Cayuga,3 102.10 THREATS 112.22 OBSTRUCT VISIB 112.21 COMP COUNT PROCEDURE 3,3.0,90,,,,,,,
2022-09-07,2010,Clinton,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,365,,,,,,,
2022-09-07,930,Collins,3 113.10 WEAPON 102.10 THREATS 103.10 BRIBERY/EXTORTION 3,3.0,45,,,,,,,
2022-09-07,1930,Eastern,3 113.23 CONTRABAND 113.31 ALCOLHOL USE 113.32 ALCOLHOL/DRUG DIST 3,3.0,44,,,,,,,
2022-09-07,1945,Elmira,3 113.10 WEAPON 1,1.0,90,,,,,,,
2022-09-07,810,Five Points,3 102.10 THREATS 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 6,6.0,365,,,,,,,
2022-09-07,1318,Five Points,3 108.13 ESCAPE ITEMS 113.23 CONTRABAND 116.10 LOSS/DAMAGE PROP 4,4.0,100,,,,,,,
2022-09-07,930,Five Points,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 102.10 THREATS 7,7.0,60,,,,,,,
2022-09-07,1140,Gouverneur,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,60,,,,,,,
2022-09-07,200,Great Meadow,3 102.10 THREATS 106.10 DIRECT ORDER 101.20 LEWD CONDUCT 5,5.0,120,,,,,,,
2022-09-07,1750,Great Meadow,3 106.10 DIRECT ORDER 101.20 LEWD CONDUCT 107.10 INTERFERENCE 4,4.0,30,,,,,,,
2022-09-07,2115,Great Meadow,3 100.10 ASSAULT ON INCAR INDIV 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,3.0,265,,,,,,,
2022-09-07,2115,Great Meadow,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,14,,,,,,,
2022-09-07,2125,Great Meadow,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 4,4.0,135,,,,,,,
2022-09-07,735,Greene,3 101.20 LEWD CONDUCT 107.10 INTERFERENCE 2,2.0,60,,,,,,,
2022-09-07,1920,Greene,3 100.11 ASSAULT ON STAFF 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,60,,,,,,,
2022-09-07,2010,Groveland,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 4,4.0,30,,,,,,,
2022-09-07,920,Marcy,3 114.10 SMUGGLING 113.23 CONTRABAND 116.10 LOSS/DAMAGE PROP 4,4.0,120,,,,,,,
2022-09-07,1245,Marcy,3 114.10 SMUGGLING 1,1.0,90,,,,,,,
2022-09-07,1300,Marcy,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,120,,,,,,,
2022-09-07,1224,Mid-State,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 102.10 THREATS 6,6.0,90,,,,,,,
2022-09-07,900,Mohawk,3 102.10 THREATS 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 6,6.0,30,,,,,,,
2022-09-07,1635,Mohawk,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 6,6.0,90,,,,,,,
2022-09-07,1635,Mohawk,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 6,6.0,193,,,,,,,
2022-09-07,1840,Orleans,3 114.10 SMUGGLING 113.23 CONTRABAND 113.15 UNAUTH EXCHANGE 3,3.0,40,,,,,,,
2022-09-07,1210,Sullivan,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 113.10 WEAPON 11,11.0,120,,,,,,,
2022-09-07,1957,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,30,,,,,,,
2022-09-07,1957,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,30,,,,,,,
2022-09-07,1715,Wende,3 118.22 UNHYGIENIC ACT 102.10 THREATS 106.10 DIRECT ORDER 6,6.0,77,,,,,,,
2022-09-07,800,Woodbourne,3 113.10 WEAPON 113.11 ALTERED ITEM 2,2.0,45,,,,,,,
2022-09-07,515,Woodbourne,3 113.10 WEAPON 120.20 GAMBLING 113.23 CONTRABAND 5,5.0,60,,,,,,,
2022-09-07,1015,Wyoming,3 101.22 STALKING 107.11 HARASSMENT 2,2.0,77,,,,,,,
2022-09-08,1905,Attica,3 113.10 WEAPON 1,1.0,180,,,,,,,
2022-09-08,720,Cayuga,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 102.10 THREATS 10,10.0,15,,,,,,,
2022-09-08,1905,Cayuga,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,45,,,,,,,
2022-09-08,735,Clinton,3 100.11 ASSAULT ON STAFF 106.10 DIRECT ORDER 4,2.0,45,,,,,,,
