time,facility,tier,date,g1,g1_label,g2,g2_label,g3,g3_label,tot_infractions,tot_g_infractions,orig_shu_days
1315,Gouverneur,3,2022-09-03,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,29
1655,Great Meadow,3,2022-09-03,100.10, ASSAULT ON INCAR INDIV ,113.10, WEAPON ,100.13, FIGHTING ,9,9.0,135
1420,Marcy,3,2022-09-03,114.10, SMUGGLING ,113.23, CONTRABAND ,,,2,2.0,90
1605,Mohawk,3,2022-09-03,113.10, WEAPON ,102.10, THREATS ,104.11, VIOLENT CONDUCT ,6,6.0,90
140,Ulster,3,2022-09-03,113.10, WEAPON ,113.23, CONTRABAND ,,,2,2.0,180
1606,Upstate,3,2022-09-03,100.13, FIGHTING ,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,3,3.0,30
1210,Upstate,3,2022-09-03,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,109.12, MOVEMENT VIO ,3,3.0,60
2100,Wende,3,2022-09-03,100.10, ASSAULT ON INCAR INDIV ,113.10, WEAPON ,100.13, FIGHTING ,5,5.0,287
2100,Wende,3,2022-09-03,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,2
2038,Attica,3,2022-09-04,100.10, ASSAULT ON INCAR INDIV ,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,6,6.0,59
2038,Attica,3,2022-09-04,100.10, ASSAULT ON INCAR INDIV ,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,6,6.0,60
1750,Attica,3,2022-09-04,113.10, WEAPON ,,,,,1,1.0,102
2038,Attica,3,2022-09-04,100.10, ASSAULT ON INCAR INDIV ,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,6,6.0,90
830,Auburn,3,2022-09-04,114.10, SMUGGLING ,113.23, CONTRABAND ,,,2,2.0,90
2220,Bare Hill,3,2022-09-04,100.11, ASSAULT ON STAFF ,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,5,5.0,114
725,Clinton,3,2022-09-04,101.20, LEWD CONDUCT ,,,,,1,1.0,30
1145,Clinton,3,2022-09-04,113.10, WEAPON ,113.11, ALTERED ITEM ,,,2,2.0,90
835,Fishkill,3,2022-09-04,104.11, VIOLENT CONDUCT ,,,,,3,1.0,11
730,Great Meadow,3,2022-09-04,101.10, SEX OFFENSE ,101.22, STALKING ,107.10, INTERFERENCE ,5,5.0,180
1950,Green Haven,3,2022-09-04,113.10, WEAPON ,,,,,2,1.0,76
